=============Your given locations: Chr1-3531624-3831843==================
CGID, chrom, CGIstart, CGIend, PerGC, Length, ObsExp, Annotation Type, GeneSym, Strand, RefSeqIDs
GG_Chr1_CGI 1946, chr1, 3746399, 3747521, 69.4, 1122, 0.81, Promoter, CCDC27, +, NM_152492
GG_Chr1_CGI 1947, chr1, 3771989, 3773120, 75.0, 1131, 0.7, Promoter, SMIM1, +, NM_001163724; NM_001288583, Intragenic, SMIM1, +, NM_001163724; NM_001288583
GG_Chr1_CGI 1948, chr1, 3786900, 3787344, 63.5, 444, 0.73, Intragenic, LRRC47, -, NM_020710
GG_Chr1_CGI 1949, chr1, 3795834, 3796670, 73.6, 836, 0.81, Promoter, LRRC47, -, NM_020710, Intragenic, LRRC47, -, NM_020710
GG_Chr1_CGI 1950, chr1, 3814894, 3815451, 60.9, 557, 0.74, Intragenic, CEP104, -, NM_014704, Gene-terminal, CEP104, -, NM_014704
GG_Chr1_CGI 322, chr1, 3543310, 3543705, 68.6, 395, 0.6, Intragenic, MEGF6, -, NM_001409
PM_Chr1_CGI 546, chr1, 3583059, 3584142, 63.1, 1084, 0.614, Intragenic, MEGF6, -, NM_001409
PM_Chr1_CGI 547, chr1, 3587158, 3587671, 50.0, 514, 0.623, Intragenic, MEGF6, -, NM_001409
PM_Chr1_CGI 548, chr1, 3595126, 3595625, 64.2, 500, 0.603, Intragenic, MEGF6, -, NM_001409
PM_Chr1_CGI 549, chr1, 3598217, 3598716, 64.4, 500, 0.6, Intragenic, MEGF6, -, NM_001409
PM_Chr1_CGI 550, chr1, 3610777, 3612148, 72.0, 1372, 0.677, Promoter, MEGF6, -, NM_001409, Intragenic, MEGF6, -, NM_001409
PM_Chr1_CGI 551, chr1, 3623828, 3626061, 66.6, 2234, 0.79, Promoter, TPRG1L, +, NM_182752, Intragenic, TPRG1L, +, NM_182752
PM_Chr1_CGI 552, chr1, 3627381, 3627886, 50.0, 506, 0.601, Intragenic, TPRG1L, +, NM_182752
PM_Chr1_CGI 553, chr1, 3631976, 3632548, 58.1, 573, 0.6, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 554, chr1, 3632843, 3633600, 56.3, 758, 0.6, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 555, chr1, 3636634, 3637154, 53.7, 521, 0.601, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 556, chr1, 3638412, 3638915, 50.0, 504, 0.603, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 557, chr1, 3642595, 3646320, 57.4, 3726, 0.742, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 558, chr1, 3646526, 3647095, 51.7, 570, 0.602, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 559, chr1, 3649545, 3653338, 67.4, 3794, 0.793, Promoter, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Promoter, WRAP73, -, NM_017818, Intragenic, WRAP73, -, NM_017818
PM_Chr1_CGI 560, chr1, 3655744, 3656253, 50.0, 510, 0.628, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 561, chr1, 3663195, 3663769, 53.2, 575, 0.601, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 562, chr1, 3673023, 3673611, 56.1, 589, 0.602, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 563, chr1, 3690432, 3691163, 63.9, 732, 0.601, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 564, chr1, 3701038, 3701541, 58.7, 504, 0.6, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 565, chr1, 3703923, 3704551, 57.5, 629, 0.601, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 566, chr1, 3711803, 3712330, 50.5, 528, 0.6, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 567, chr1, 3732668, 3733234, 69.3, 567, 0.6, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Gene-terminal, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
PM_Chr1_CGI 568, chr1, 3737311, 3737834, 50.3, 524, 0.601, Intergenic, , , 
PM_Chr1_CGI 569, chr1, 3743999, 3744686, 50.4, 688, 0.617, Intergenic, , , 
PM_Chr1_CGI 570, chr1, 3746102, 3747959, 61.7, 1858, 0.715, Promoter, CCDC27, +, NM_152492
PM_Chr1_CGI 571, chr1, 3756418, 3756920, 58.6, 503, 0.601, Intragenic, CCDC27, +, NM_152492
PM_Chr1_CGI 572, chr1, 3771769, 3772744, 73.4, 976, 0.6, Promoter, SMIM1, +, NM_001163724; NM_001288583
PM_Chr1_CGI 573, chr1, 3772745, 3773293, 71.4, 549, 0.6, Promoter, SMIM1, +, NM_001163724; NM_001288583, Intragenic, SMIM1, +, NM_001163724; NM_001288583
PM_Chr1_CGI 574, chr1, 3779957, 3780456, 50.0, 500, 0.677, Intragenic, LRRC47, -, NM_020710, Gene-terminal, LRRC47, -, NM_020710
PM_Chr1_CGI 575, chr1, 3780764, 3781277, 54.6, 514, 0.6, Intragenic, LRRC47, -, NM_020710, Gene-terminal, LRRC47, -, NM_020710
PM_Chr1_CGI 576, chr1, 3784137, 3785053, 54.0, 917, 0.6, Intragenic, LRRC47, -, NM_020710
PM_Chr1_CGI 577, chr1, 3786758, 3787550, 62.2, 793, 0.6, Intragenic, LRRC47, -, NM_020710
PM_Chr1_CGI 578, chr1, 3794470, 3795069, 50.6, 600, 0.625, Intragenic, LRRC47, -, NM_020710
PM_Chr1_CGI 579, chr1, 3795525, 3797109, 62.9, 1585, 0.734, Promoter, LRRC47, -, NM_020710, Intragenic, LRRC47, -, NM_020710
PM_Chr1_CGI 580, chr1, 3814717, 3815574, 59.2, 858, 0.6, Intragenic, CEP104, -, NM_014704, Gene-terminal, CEP104, -, NM_014704
PM_Chr1_CGI 581, chr1, 3816287, 3816786, 61.0, 500, 0.602, Intragenic, CEP104, -, NM_014704
PM_Chr1_CGI 582, chr1, 3822537, 3823036, 53.2, 500, 0.601, Intragenic, CEP104, -, NM_014704
TJ_Chr1_CGI 321, chr1, 3583090, 3584097, 62.9, 1008, 0.65, Intragenic, MEGF6, -, NM_001409
TJ_Chr1_CGI 322, chr1, 3610819, 3612078, 72.1, 1260, 0.702, Promoter, MEGF6, -, NM_001409, Intragenic, MEGF6, -, NM_001409
TJ_Chr1_CGI 323, chr1, 3623948, 3626012, 67.6, 2065, 0.809, Promoter, TPRG1L, +, NM_182752, Intragenic, TPRG1L, +, NM_182752
TJ_Chr1_CGI 324, chr1, 3632011, 3632515, 57.0, 505, 0.658, Intragenic, WRAP73, -, NM_017818
TJ_Chr1_CGI 325, chr1, 3632996, 3633536, 55.4, 541, 0.652, Intragenic, WRAP73, -, NM_017818
TJ_Chr1_CGI 326, chr1, 3642981, 3644776, 63.9, 1796, 0.752, Intragenic, WRAP73, -, NM_017818
TJ_Chr1_CGI 327, chr1, 3644946, 3645976, 55.7, 1031, 0.838, Intragenic, WRAP73, -, NM_017818
TJ_Chr1_CGI 328, chr1, 3649636, 3653249, 67.3, 3614, 0.807, Promoter, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Promoter, WRAP73, -, NM_017818, Intragenic, WRAP73, -, NM_017818
TJ_Chr1_CGI 329, chr1, 3690463, 3691108, 63.9, 646, 0.651, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
TJ_Chr1_CGI 330, chr1, 3704017, 3704567, 55.8, 551, 0.651, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
TJ_Chr1_CGI 331, chr1, 3732718, 3733231, 68.6, 514, 0.652, Intragenic, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427, Gene-terminal, TP73, +, NM_001126242; NM_001204187; NM_001204186; NM_001204185; NM_001204184; NM_001204189; NM_001204190; NM_001204188; NM_001126241; NM_001126240; NM_001204192; NM_001204191; NM_005427
TJ_Chr1_CGI 332, chr1, 3746115, 3747863, 62.2, 1749, 0.731, Promoter, CCDC27, +, NM_152492
TJ_Chr1_CGI 333, chr1, 3771917, 3772531, 73.1, 615, 0.65, Promoter, SMIM1, +, NM_001163724; NM_001288583
TJ_Chr1_CGI 334, chr1, 3772548, 3773208, 74.5, 661, 0.65, Promoter, SMIM1, +, NM_001163724; NM_001288583, Intragenic, SMIM1, +, NM_001163724; NM_001288583
TJ_Chr1_CGI 335, chr1, 3784148, 3784694, 55.0, 547, 0.696, Intragenic, LRRC47, -, NM_020710
TJ_Chr1_CGI 336, chr1, 3786852, 3787389, 62.8, 538, 0.652, Intragenic, LRRC47, -, NM_020710
TJ_Chr1_CGI 337, chr1, 3795567, 3797007, 64.8, 1441, 0.715, Promoter, LRRC47, -, NM_020710, Intragenic, LRRC47, -, NM_020710
TJ_Chr1_CGI 338, chr1, 3814808, 3815480, 61.3, 673, 0.65, Intragenic, CEP104, -, NM_014704, Gene-terminal, CEP104, -, NM_014704
=============Your given locations: Chr2-10000-130000==================
CGID, chrom, CGIstart, CGIend, PerGC, Length, ObsExp, Annotation Type, GeneSym, Strand, RefSeqIDs
GG_Chr2_CGI 1, chr2, 10378, 11665, 71.0, 1287, 0.98, Intergenic, , , 
GG_Chr2_CGI 2, chr2, 45510, 47196, 71.5, 1686, 0.89, Promoter, FAM110C, -, NM_001077710, Intragenic, FAM110C, -, NM_001077710
GG_Chr2_CGI 3, chr2, 126348, 127071, 70.4, 723, 0.67, Intergenic, , , 
PM_Chr2_CGI 2, chr2, 45142, 47792, 64.9, 2651, 0.797, Promoter, FAM110C, -, NM_001077710, Intragenic, FAM110C, -, NM_001077710
PM_Chr2_CGI 3, chr2, 66718, 68677, 51.0, 1960, 0.701, Intergenic, , , 
PM_Chr2_CGI 4, chr2, 125971, 126965, 59.8, 995, 0.62, Intergenic, , , 
TJ_Chr2_CGI 2, chr2, 45248, 47653, 66.6, 2406, 0.815, Promoter, FAM110C, -, NM_001077710, Intragenic, FAM110C, -, NM_001077710
TJ_Chr2_CGI 3, chr2, 126056, 126873, 60.3, 818, 0.65, Intergenic, , , 
=============Your given locations: Chr1-24025-295090==================
CGID, chrom, CGIstart, CGIend, PerGC, Length, ObsExp, Annotation Type, GeneSym, Strand, RefSeqIDs
GG_Chr1_CGI 2, chr1, 28735, 29810, 73.2, 1075, 0.83, Intergenic, , , 
GG_Chr1_CGI 3, chr1, 51587, 51860, 69.2, 273, 0.9, Intergenic, , , 
GG_Chr1_CGI 4, chr1, 135124, 135563, 67.2, 439, 0.64, Intergenic, , , 
GG_Chr1_CGI 5, chr1, 180998, 181759, 74.4, 761, 1.03, Intergenic, , , 
GG_Chr1_CGI 6, chr1, 199251, 200253, 73.2, 1002, 0.85, Intergenic, , , 
PM_Chr1_CGI 2, chr1, 28461, 30051, 63.1, 1591, 0.809, Intergenic, , , 
PM_Chr1_CGI 3, chr1, 51278, 52147, 50.0, 870, 0.737, Intergenic, , , 
PM_Chr1_CGI 4, chr1, 134719, 135585, 56.7, 867, 0.604, Intergenic, , , 
PM_Chr1_CGI 5, chr1, 180516, 182123, 62.6, 1608, 0.784, Intergenic, , , 
PM_Chr1_CGI 6, chr1, 198974, 200548, 63.4, 1575, 0.803, Intergenic, , , 
PM_Chr1_CGI 7, chr1, 258541, 259044, 50.0, 504, 0.603, Intergenic, , , 
TJ_Chr1_CGI 2, chr1, 28539, 30032, 64.4, 1494, 0.821, Intergenic, , , 
TJ_Chr1_CGI 3, chr1, 51446, 51999, 55.0, 554, 0.849, Intergenic, , , 
TJ_Chr1_CGI 4, chr1, 180623, 182109, 63.5, 1487, 0.807, Intergenic, , , 
TJ_Chr1_CGI 5, chr1, 199054, 200515, 64.5, 1462, 0.82, Intergenic, , , 
=============Your given locations: Chr18-1-100000==================
CGID, chrom, CGIstart, CGIend, PerGC, Length, ObsExp, Annotation Type, GeneSym, Strand, RefSeqIDs
GG_Chr18_CGI 1, chr18, 10689, 12372, 68.3, 1683, 0.81, Intergenic, , , 
GG_Chr18_CGI 2, chr18, 48911, 49655, 69.9, 744, 0.66, Intergenic, , , 
GG_Chr18_CGI 3, chr18, 72880, 73563, 66.2, 683, 0.86, Intergenic, , , 
GG_Chr18_CGI 4, chr18, 75401, 76027, 65.3, 626, 0.92, Intergenic, , , 
PM_Chr18_CGI 1, chr18, 10437, 12511, 66.1, 2075, 0.722, Intergenic, , , 
PM_Chr18_CGI 2, chr18, 35716, 36228, 51.0, 513, 0.6, Intergenic, , , 
PM_Chr18_CGI 3, chr18, 48754, 49993, 63.0, 1240, 0.6, Intergenic, , , 
PM_Chr18_CGI 4, chr18, 72453, 74049, 55.9, 1597, 0.751, Intergenic, , , 
PM_Chr18_CGI 5, chr18, 75053, 76508, 55.3, 1456, 0.789, Intergenic, , , 
PM_Chr18_CGI 6, chr18, 95867, 96930, 58.4, 1064, 0.618, Intergenic, , , 
TJ_Chr18_CGI 1, chr18, 10449, 12453, 66.1, 2005, 0.739, Intergenic, , , 
TJ_Chr18_CGI 2, chr18, 48897, 49656, 69.7, 760, 0.651, Intergenic, , , 
TJ_Chr18_CGI 3, chr18, 72575, 73988, 58.4, 1414, 0.748, Intergenic, , , 
TJ_Chr18_CGI 4, chr18, 75139, 76457, 57.3, 1319, 0.792, Intergenic, , , 
TJ_Chr18_CGI 5, chr18, 96166, 96864, 60.3, 699, 0.66, Intergenic, , , 
=============Your given locations: ChrX-78000-100000==================
CGID, chrom, CGIstart, CGIend, PerGC, Length, ObsExp, Annotation Type, GeneSym, Strand, RefSeqIDs
GG_ChrX_CGI 3, chrX, 94835, 95206, 67.4, 371, 0.87, Intergenic, , , 
PM_ChrX_CGI 6, chrX, 94697, 95418, 50.9, 722, 0.79, Intergenic, , , 
TJ_ChrX_CGI 3, chrX, 94757, 95348, 55.0, 592, 0.786, Intergenic, , , 
